FID;Sítio;Tipo;Município;X;Y;CNSA;Referênci
0;Aldeia da Balsinha;Guarani;Imbituba;723864;6881313; ;Silva (1999)
1;Aldeia da ZPE / IMA 023;Guarani;Imbituba;727864;6876354;SC01087;"Lavina (1999); Santos et al. (2017)"
2;Aldeia do Tuquaruçu;Guarani;Pescaria Brava;705511;6853025;SC01817;Lavina (2003)
3;Alto Arroio;Guarani;Imbituba;725940;6882794; ;Silva (1999)
4;Araçatuba / IMA 011;Guarani;Imbituba;727217;6886890;SC00456;Farias (2012a)
5;Arroio I;Guarani;Imbituba;727291;6884592; ;Silva (1999)
6;Arroio II;Guarani;Imbituba;727347;6884548; ;Silva (1999)
7;Awyra;Guarani;Imbituba;726874;6880844; ;"Farias & Kneip; 2010"
8;Baixo Rio D' Una I;Guarani;Imbituba;725013;6879716;SC01670;Schwengber (2015)
9;Baixo Rio D' Una II;Guarani;Imbituba;724671;6879751; ;Costa (2020)
10;Balsinha I / IMA 009;Sambaqui;Imbituba;722883;6880895;SC00454;"Rohr (1969); Farias & Kneip (2010); Merencio (2021)"
11;Balsinha II / IMA 010;Sambaqui;Imbituba;723754;6881376;SC00455;"Rohr (1969); Silva (1999); Farias & Kneip (2010)"
12;"Balsinha III / IMI 009; Rio D' Una VI";Sambaqui;Imaruí;0;0;SC00437;"Rohr (1969); Farias & Kneip (2010)"
13;Balsinha IV / IMI 010;Sambaqui;Imaruí;721764;6881611;SC00438;"Rohr (1969); Silva (1999)"
14;Balsinha V / IMI 011;Sambaqui/Guarani;Imaruí;0;0;SC00439;"Rohr (1984); Farias & Kneip (2010)"
15;Balsinha VI / IMI 012;Sambaqui;Imaruí;0;0;SC00440;"Rohr (1984); Farias & Kneip (2010)"
16;"Balsinha VII / IMI 013; Rio D' Una IX";Sambaqui/Guarani;Imaruí;721261;6884430;SC00441;"Rohr (1984); Silva (1999)"
17;Barra da Lagoa de Ibiraquera / IMA 019;Sambaqui;Imbituba;731608;6884711;SC00463;"Rohr (1969; 1984); Silva (1999); Farias & Kneip (2010)"
18;Barreiros;Sambaqui;Laguna;0;0;SC00723;"Rohr (1969; 1984); Farias & Kneip (2010)"
19;Bentos I / SC-LGN-052;Guarani;Laguna;716540;6856075; ;Farias & Kneip (2010)
20;Bentos II / SC-LGN-053;Guarani;Laguna;716275;6856430; ;Farias & Kneip (2010)
21;Cabeçuda I / SC-LGN-2;Sambaqui;Laguna;712546;6852183;SC00027 e SC02855 e SC00709;"Rohr (1969); Assunção (2010); Farias & Kneip (2010); Saladino (2016); DiGiusto (2017); Scheel-Ybert et al (2020)"
22;Cabeçuda II / SC-LG-32 / Mato Alto II;Sambaqui/Guarani;Laguna;714595;6850945; ;"Assunção (2010); Oliveira (2010); Farias & Kneip (2010)"
23;Campo da Aviação / IMA 004;Sambaqui;Imbituba;0;0;SC00449;Farias & Kneip (2010)
24;Campo da Vila / IMA 003 / Vila Nova II (Fróes de Abreu);Sambaqui;Imbituba;0;0;SC00448;"Piazza (1966); Farias & Kneip (2010)"
25;Caputera I / SC-LGN-07;Sambaqui;Laguna;716091;6860073;SC00023 e SC00721;"Piazza (1966); Farias & Kneip (2010); Silva (1999)"
26;Caputera II / SC-LGN-08;Sambaqui;Laguna;716554;6858346;SC00024 e SC00722;"Piazza (1966); Farias & Kneip (2010); Silva (1999)"
27;Cerâmico Nova Brasilia;Guarani;Imbituba;725736;6876186; ;Farias (2012a)
28;Ceramico Nova Brasilia II;Guarani;Imbituba;725733;6876064; ;DeMasi (2017)
29;Darci Santina de Souza;Guarani;Imbituba;725625;6881695; ;Silva (1999)
30;Dunas da Guaiúba;Guarani;Imbituba;724268;6867331; ;Silva (1999)
31;Engenho;Guarani;Imbituba;725456;6872707; ;Farias (2012a)
32;Estreito / SC-LGN-14;Sambaqui;Laguna;719620;6859328;SC00726;"Piazza (1966); Farias & Kneip (2010)"
33;Estreito II / SC-LGN-15;Sambaqui;Laguna;719056;6858534; ;Farias & Kneip (2010)
34;Estreito III / SC-LGN-16;Sambaqui;Laguna;719229;6858428; ;Farias & Kneip (2010)
35;Figueira Grande / IMI 004;Sambaqui tardio;Imaruí;0;0;SC00432;"Piazza (1966); Farias & Kneip (2010)"
36;Forquilha do Rio D'Una / IMI 006;Sambaqui;Imaruí;0;0;SC00434;"Piazza (1966); Farias & Kneip (2010)"
37;Guaiúba / IMA 018;Sambaqui;Imbituba;723662;6868201;SC00464;"Rohr (1969; 1984); Silva (1999)"
38;Imbituba VII / IMA 020;Sambaqui;Imbituba;721701;6865673;SC00465;"Rohr (1969; 1984); Silva (1999)"
39;Imbituba VIII;Guarani;Imbituba;724470;6880486;SC01691;Silva (2018)
40;Itaguaçu /  IMI 014 / Imaruí V;Sambaqui;Imaruí;0;0;SC00442;"Rohr (1969; 1984); Farias & Kneip (2010)"
41;Itapirubá I / IMA 014 / Imbituba III (Rohr);Sambaqui;Imbituba;723733;6864038;SC00049 e SC00459;"Piazza (1966); Farias & Kneip (2010); Merencio (2021)"
42;Itapirubá II / IMA 015 / Imbituba IV (Rohr);Sambaqui/Guarani;Imbituba;723520;6864015;SC00050 e SC00460;"Piazza (1966); Farias & Kneip (2010); Merencio (2021)"
43;Itapirubá III;Sambaqui;Imbituba;723678;6864682; ;Silva et al (1999)
44;KM 295;Guarani;Imbituba;722920;6865345; ;Farias & Kneip (2010)
45;KM 308 / SC-LGN-20;Guarani;Laguna;716307;6855519; ;DeMasi (2017)
46;Lagoa de Ibiraquera I;Guarani;Imbituba;727070;6886925; ;GRUPEP (s/d)
47;Laudelino / IMA 002 / Imbituba 2;Sambaqui;Imbituba;0;0;SC00447;"Rohr (1969; 1984); Farias & Kneip (2010)"
48;Mirim I / IMA 011;Sambaqui;Imbituba;725476;6874946;SC00046 e SC00457;"Piazza (1966); Farias & Kneip (2010); Farias (2012a)"
49;Mirim II / IMA 012;Sambaqui;Imbituba;0;0;SC00047 e SC00458;"Piazza (1966); Farias & Kneip (2010)"
50;N/d1;Sem informação;Imaruí;718968;6867318; ;GRUPEP (s/d)
51;N/d2;Sambaqui;Imaruí;708553;6866992; ;GRUPEP (s/d)
52;N/d3;Sambaqui;Imaruí;719079;6867155; ;GRUPEP (s/d)
53;N/d4;Sem informação;Imbituba;723276;6876072; ;GRUPEP (s/d)
54;N/d5;Guarani;Imbituba;728889;6876368; ;GRUPEP (s/d)
55;N/d7;Guarani;Laguna;717612;6856439; ;GRUPEP (s/d)
56;Nova Brasília - COPAGRO;Guarani;Imbituba;725493;6877980; ;GRUPEP (s/d)
57;Nova Brasília I;Guarani;Imbituba;725552;6877723; ;GRUPEP (s/d)
58;Oficina lítica Cabeçuda;Oficina lítica;Laguna;712500;6852154; ;"Farias & DeBlasis (2014); Scheel-Ybert et al (2020)"
59;Oficina Lítica da Vigia I;Oficina Litica;Garopaba;734947;6898340;SC01514;Farias (2013)
60;Oficina Lítica da Vigia II;Oficina Litica;Garopaba;735159;6898571;SC01515;Farias 2013
61;Passagem do Rio D'Una I / IMA 007;Sambaqui;Imbituba;721820;6877326;SC00045 e SC00452;"Piazza (1966); Farias & Kneip (2010)"
62;Passagem do Rio D'Una II / IMA 008;Sambaqui;Imbituba;721799;6877421;SC00453;"Rohr (1969; 1984); Farias & Kneip (2010)"
63;Passagem do Rio D'Una III;Sambaqui;Imbituba;722627;6877436;SC00467;"Silva (1999); Farias & Kneip (2010)"
64;Passeio Jerônimo Coelho / IMI 005;Sambaqui;Imaruí;0;0;SC00433;Farias & Kneip (2010)
65;Pedra Chata (Bananal);Sambaqui tardio;Laguna;711044;6852155; ;"Farias & DeBlasis (2014); Kneip & Mello (2018)"
66;Peixaria / SC-LGN-23;Sambaqui;Laguna;719334;6859518; ;"Rohr (1969; 1984); Farias & Kneip (2010)"
67;Ponta da Guaiúba;Sambaqui;Imbituba;724126;6868756;SC00048;"Rohr (1969; 1984); Silva (1999)"
68;Ponta da Vila;Sambaqui;Imbituba;0;0; ;"Piazza (1966); Farias & Kneip (2010)"
69;Ponta das Laranjeiras I;Sambaqui;Pescaria Brava;711494;6853553; ;"Rohr (1969; 1984); Assunção (2010); Farias & Kneip (2010)"
70;Ponta das Laranjeiras II;Sambaqui tardio;Pescaria Brava;711893;6854240; ;"Assunção (2010); Kneip & Mello (2018)"
71;Ponta das Laranjeiras III / SC-LGN-24;Sambaqui;Pescaria Brava;709320;6853725; ;Assunção (2010)
72;Ponta do Perixil / Ponta do Perrechil I / SC-LGN-25 / Ponta do Perrechil II / SC-LGN-26;Sambaqui;Laguna;715465;6861055; ;"Piazza (1966); Farias & Kneip (2010); Sapienza (2014b)"
73;Ponta Rasa / IMA 0001;Sambaqui;Imbituba;721652;6865397;SC00446;"Piazza (1966); Silva (1999)"
74;Porteira / SC-LGN-27;Sambaqui;Laguna;0;0;SC00708;"Piazza (1966); Farias & Kneip (2010)"
75;Porto da Vila I / IMA 005 / Imbituba 10 (Rohr) / Vila Nova I (Fróes de Abreu);Sambaqui;Imbituba;724925;6871191;SC00450;Farias & Kneip (2010)
76;Porto da Vila II;Sambaqui;Imbituba;725619;6869934; ;"Farias & Kneip (2010); Farias (2012a)"
77;Porto do Ouriques / IMA 006 / Sambaqui do Rio D' Una V;Sambaqui;Imbituba;0;0;SC00451;"Rohr (1969; 1984); Farias & Kneip (2010)"
78;Praia da Casa Grande;Sambaqui;Imaruí;713248;6863184; ;Amaral (2002)
79;Praia da Ferrugem;Guarani;Garopaba;733476;6892099; ;Silva et al (1999)
80;Praia da Vila;Oficina lítica;Imbituba;730429;6874317; ;Silva et al (1999)
81;Praia do Rosa I;Guarani;Imbituba;731547;6886553; ;Farias & Kneip (2010)
82;Praia do Rosa II;Oficina lítica;Imbituba;731882;6885136; ;Farias & Kneip (2010)
83;Praia do Rosa III;Guarani;Imbituba;731960;6887053; ;Silva et al (1999)
84;Ribeirão do Cangueri I / IMI 007;Sambaqui;Imaruí;0;0;SC00435;"Rohr (1969; 1984); Farias & Kneip (2010)"
85;Ribeirão do Cangueri II / IMI 008;Sambaqui;Imaruí;0;0;SC00436;"Rohr (1969; 1984); Farias & Kneip (2010)"
86;Roça Grande I / IMA 016;Sambaqui;Imbituba;0;0;SC00461;"Rohr (1969; 1984); Farias & Kneip (2010); Farias (2012a)"
87;Roça Grande II / IMA 017;Sambaqui;Laguna;722138;6862623;SC00462;"Rohr (1984); Silva (1999); DeMasi (2017)"
88;Roça Grande III / IMA 021;Sambaqui;Imbituba;722365;6864407;SC00466;Farias (2012a)
89;Roçado;Sambaqui;Laguna;0;0;SC00711;"Rohr (1969; 1984); Farias & Kneip (2010)"
90;Samambaia I / IMI 001 / Santo Tomás;Sambaqui;Imaruí;707856;6865263;SC00043 e SC00429;"Piazza (1966); Farias & Kneip (2010)"
91;Samambaia II / IMI 003;Sambaqui;Imaruí;707359;6864863;SC00431;"Piazza (1966); Farias & Kneip (2010)"
92;Sambaqui de Araçatuba;Sambaqui;Imbituba;0;0;SC01148;"Rohr (1969; 1984); Farias & Kneip (2010)"
93;Sambaqui do Aniversário;Sambaqui;Imbituba;726550;6887384; ;Farias (2012a)
94;Sambaqui Vila Nova;Sambaqui;Imbituba;725250;6871764; ;Farias (2012a)
95;SC-DUN-001;Sambaqui;Garopaba;732330;6888600; ;Pestana & Ribeiro (2016)
96;SC-DUN-002;Oficina lítica;Garopaba;732335;6889180; ;Pestana & Ribeiro (2016)
97;SC-GRP-06 Sítio Ambrósio;Guarani;Garopaba;731626;6897960; ;Farias (2010)
98;SC-IMB-01;Guarani;Imbituba;723694;6880834;SC01511;Farias (2016)
99;SC-IMB-033 Estrondo;Guarani;Imbituba;723694;6880833; ;Farias (2016)
100;SC-IMB-034;Guarani;Imbituba;725776;6881590; ;GRUPEP (s/d)
101;SC-LGN-050 Barranceira;Guarani;Laguna;714751;6852908;SC01443;Farias & DeBlasis (2014)
102;SC-NB-01;Guarani;Imbituba;725512;6877650; ;Farias (2012a)
103;SC-NB-04;Sambaqui/Guarani;Imbituba;725554;6877772; ;Farias (2012a)
104;SC-NB-06 Fazenda Imbituba;Guarani;Imbituba;724460;6880540;SC01487;Farias (2012b)
105;Siqueiro;Sambaqui;Imaruí;0;0;SC00430;"Piazza (1966); Farias & Kneip (2010)"
106;Sítio Guarani 02;Guarani;Imbituba;725625;6877841; ;Farias (2012a)
107;Sítio Guarani 03;Guarani;Imbituba;725660;6878520; ;Farias (2012a)
108;Tamborete I / IMI 015 / Imaruí VI;Sambaqui;Imaruí;0;0;SC00443;"Rohr (1969; 1984); Farias & Kneip (2010)"
109;Tamborete II / IMI 016 / Imaruí VII;Sambaqui;Imaruí;0;0;SC00444;Farias & Kneip (2010)
